"phylum","subphylum","class","subclass","order","family","genus","species","infraclass","suborder","infraorder","sciName"
"Cnidaria","Anthozoa","Anthozoa","Hexacorallia","Actiniaria",NA,NA,NA,NA,NA,NA,"Actiniaria"
"Cnidaria","Medusozoa","Hydrozoa","Hydroidolina","Leptothecatae","Aequoreidae","Aequorea",NA,NA,NA,NA,"Aequorea"
"Mollusca",NA,"Gastropoda","Prosobranchia","Neogastropoda","Turridae","Aforia","Aforia circinata",NA,NA,NA,"Aforia circinata"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Agonidae",NA,NA,"Teleostei","Cottoidei",NA,"Agonidae"
"Cnidaria","Anthozoa","Anthozoa","Octocorallia","Alcyonacea",NA,NA,NA,NA,NA,NA,"Alcyonacea"
"Bryozoa",NA,"Gymnolaemata",NA,"Ctenostomata","Alcyonidiidae","Alcyonidium","Alcyonidium pedunculatum",NA,"Carnosa",NA,"Alcyonidium pedunculatum"
"Echinodermata","Echinozoa","Echinoidea","Euechinoidea","Echinoida","Strongylocentrotidae","Allocentrotus","Allocentrotus fragilis",NA,NA,NA,"Allocentrotus fragilis"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Perciformes","Ammodytidae","Ammodytes",NA,"Teleostei","Trachinoidei",NA,"Ammodytes"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Perciformes","Anarhichadidae","Anarhichas","Anarhichas orientalis","Teleostei","Zoarcoidei",NA,"Anarhichas orientalis"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Perciformes","Anarhichadidae","Anarrhichthys","Anarrhichthys ocellatus","Teleostei","Zoarcoidei",NA,"Anarrhichthys ocellatus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Teleostei","Anoplopomatoidei",NA,"Anoplopoma fimbria"
"Annelida","Polychaeta","Errantia","Aciculata","Phyllodocida","Aphroditidae",NA,NA,NA,NA,NA,"Aphroditidae"
"Chordata","Urochordata","Ascidiacea",NA,"Enterogona","Polyclinidae","Aplidium",NA,NA,"Aplousobranchia",NA,"Aplidium"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cyclopteridae","Aptocyclus","Aptocyclus ventricosus","Teleostei","Cottoidei",NA,"Aptocyclus ventricosus"
"Mollusca",NA,"Gastropoda","Prosobranchia","Neogastropoda","Volutidae","Arctomelon","Arctomelon stearnsii",NA,NA,NA,"Arctomelon stearnsii"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Crangonidae","Argis",NA,NA,"Pleocyemata","Caridea","Argis"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Crangonidae","Argis","Argis dentata",NA,"Pleocyemata","Caridea","Argis dentata"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Artedius","Artedius lateralis","Teleostei","Cottoidei",NA,"Artedius lateralis"
"Chordata","Urochordata","Ascidiacea",NA,NA,NA,NA,NA,NA,NA,NA,"Ascidiacea"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Agonidae","Aspidophoroides","Aspidophoroides bartoni","Teleostei","Cottoidei",NA,"Aspidophoroides bartoni"
"Echinodermata","Asterozoa","Asteroidea",NA,"Forcipulatida","Asteriidae","Asterias","Asterias amurensis",NA,NA,NA,"Asterias amurensis"
